Image URL,Product Name,Original Price,Discount Price,Product URL,Availability,Seller
https://www.euronics.ee/UserFiles/Products/Images/362418-545482-medium.png,Apple iPhone 15 Pro 1 TB black - Smartphone,1769,1709,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mtvc3pxfsa/apple-iphone-15-pro-1-tb-must-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395774-595811-medium.png,Apple iPhone 16 Pro 256 GB black titanium - Smartphone,1389,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mynh3hxfsa/apple-iphone-16-pro-256-gb-must-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395875-595821-medium.png,Apple iPhone 16 Pro Max 512 GB black titanium - Smartphone,1759,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/myx03hxfsa/apple-iphone-16-pro-max-512-gb-must-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395789-595799-medium.png,Apple iPhone 16 Pro 256 GB white titanium - Smartphone,1389,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mynj3hxfsa/apple-iphone-16-pro-256-gb-valge-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395809-595787-medium.png,Apple iPhone 16 Pro 512 GB natural titanium - Smartphone,1639,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mynq3hxfsa/apple-iphone-16-pro-512-gb-hall-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395606-595651-medium.png,Apple iPhone 16 256 GB black - Smartphone,1109,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/myee3hxfsa/apple-iphone-16-256-gb-must-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395779-595811-medium.png,Apple iPhone 16 Pro 512 GB black titanium - Smartphone,1639,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mynm3hxfsa/apple-iphone-16-pro-512-gb-must-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395900-595854-medium.png,Apple iPhone 16 Pro Max 1 TB natural titanium - Smartphone,2009,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/myx73hxfsa/apple-iphone-16-pro-max-1-tb-hall-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395601-595641-medium.png,Apple iPhone 16 256 GB white - Smartphone,1109,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/myef3hxfsa/apple-iphone-16-256-gb-valge-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395596-595631-medium.png,Apple iPhone 16 256 GB pink - Smartphone,1109,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/myeg3hxfsa/apple-iphone-16-256-gb-roosa-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395910-595875-medium.png,Apple iPhone 16 Pro Max 1 TB desert titanium - Smartphone,2009,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/myx63hxfsa/apple-iphone-16-pro-max-1-tb-pruun-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395794-595799-medium.png,Apple iPhone 16 Pro 512 GB white titanium - Smartphone,1639,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mynn3hxfsa/apple-iphone-16-pro-512-gb-valge-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395824-595776-medium.png,Apple iPhone 16 Pro 512 GB desert titanium - Smartphone,1639,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mynp3hxfsa/apple-iphone-16-pro-512-gb-pruun-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395586-595595-medium.png,Apple iPhone 16 256 GB ultramarine - Smartphone,1109,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/myeh3hxfsa/apple-iphone-16-256-gb-sinine-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395764-595811-medium.png,Apple iPhone 16 Pro 1 TB black titanium - Smartphone,1899,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mynr3hxfsa/apple-iphone-16-pro-1-tb-must-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395591-595605-medium.png,Apple iPhone 16 256 GB teal - Smartphone,1109,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/myej3hxfsa/apple-iphone-16-256-gb-roheline-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395714-595730-medium.png,Apple iPhone 16 Plus 256 GB ultramarine - Smartphone,1259,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mxy23hxfsa/apple-iphone-16-plus-256-gb-sinine-nutitelefon,In Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/298446-450405-medium.png,Apple iPhone 13 128 GB black - Smartphone,569.99,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mlpf3etfsa/apple-iphone-13-128-gb-must-nutitelefon,In Stock,Euronics
